All Players Year to Date MLB Pitcher_import Categories
Avail,Player,MLB,Eligible,Rank,
W ( 3/30),Jordan Leasure RP | CHW,A,RP,180
W ( 3/30),Robert Garcia RP | TEX ,A,RP,180
W ( 3/30),Lake Bachar RP | MIA,A,RP,182
W ( 3/30),Dennis Santana RP | PIT,A,RP,183
W ( 3/30),Lucas Sims RP | WAS,A,RP,184
Iowa Cubs,Cole Ragans SP | KC ,A,SP,188
W ( 3/30),Julian Merryweather RP | CHC,A,RP,189
W ( 3/30),Seranthony Dominguez RP | BAL,A,RP,189
W ( 3/30),Jack Dreyer RP | LAD,A,RP,191
W ( 3/30),Eduardo Salazar RP | WAS,A,RP,195
W ( 3/30),Marc Church RP | TEX ,A,RP,195
Richmond Hippies,Clay Holmes RP | NYM ,A,RP,199
W ( 3/30),Connor Gillispie RP | MIA ,A,RP,200
Centreville Blue Sox,Chad Green RP | TOR,A,RP,201
W ( 3/30),Aaron Bummer RP | ATL,A,RP,209
W ( 3/30),Griffin Jax RP | MIN ,A,RP,215
East Carolina Bucs,Logan Webb SP | SF ,A,SP,216
W ( 3/30),Brad Keller RP | CHC ,A,RP,217
W ( 3/30),Angel Zerpa RP | KC,A,RP,220
W ( 3/30),Carlos Vargas RP | SEA,A,RP,220
W ( 3/30),"Ryan Brasier RP,SP | CHC ",IL,"RP,SP",223
W ( 3/30),Alek Jacob RP | SD,A,RP,223
W ( 3/30),Kyle Leahy RP | STL,A,RP,232
W ( 3/30),Luke Jackson RP | TEX ,A,RP,235
Levittown Panthers,"Ben Brown RP,SP | CHC ",A,"RP,SP",239
Iowa Cubs,Ryan Pressly RP | CHC,A,RP,244
Lewisberg All Blacks,Jordan Romano RP | PHI ,A,RP,245
W ( 3/30),Bryce Jarvis RP | ARI ,A,RP,247
Centreville Blue Sox,Tarik Skubal SP | DET ,A,SP,248
W ( 3/30),Nate Pearson RP | CHC,A,RP,250
W ( 3/30),Jose Ferrer RP | WAS,IL,RP,253
W ( 3/30),Jacob Barnes RP | TOR ,A,RP,256
W ( 3/30),Eduard Bazardo RP | SEA,A,RP,259
W ( 3/30),Sam Long RP | KC,A,RP,279
South Carolina Ballcocks,Tanner Houck SP | BOS ,A,SP,294
W ( 3/30),Cionel Perez RP | BAL,A,RP,296
W ( 3/30),Colin Holderman RP | PIT,A,RP,296
Midlothian DeadHeads,Zac Gallen SP | ARI ,A,SP,302
W ( 3/30),"Jared Koenig RP,SP | MIL",A,"RP,SP",303
