#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
423,Dillon Tate,622253,622253,17796,10459,*03p9d*,TOR,RP,RP,Tate,Dillon,Tate,Dillon,Dillon Tate
424,Patrick Weigel,622256,622256,17792,10443,*03dty*,WSH,RP,RP,Weigel,Patrick,Weigel,Patrick,Patrick Weigel
425,Donovan Walton,622268,622268,19314,10697,*03qyb*,NYM,2B,2B/SS,Walton,Donovan,Walton,Donovan,Donovan Walton
426,Nabil Crismatt,622503,622503,17732,10887,*0484h*,PHI,RP,RP,Crismatt,Nabil,Crismatt,Nabil,Nabil Crismatt
427,Seranthony Dominguez,622554,622554,19249,9838,*04auk*,BAL,RP,RP,Dominguez,Seranthony,Domínguez,Seranthony,Seranthony Domínguez
428,Pablo Reyes,622569,622569,16357,10098,*03azu*,NYY,2B/SS/ 3B,1B/2B/ SS/3B,Reyes,Pablo,Reyes,Pablo,Pablo Reyes
429,Miguel Diaz,622766,622766,18815,9591,*03mkx*,SF,RP,RP,Diaz,Miguel,Díaz,Miguel,Miguel Díaz
430,Angel Perdomo,622780,622780,17759,10706,*03mhv*,ATH,RP,RP,Perdomo,Angel,Perdomo,Angel,Angel Perdomo
431,Jesus Tinoco,622786,622786,16300,9845,*03moe*,MIA,RP,RP,Tinoco,Jesus,Tinoco,Jesus,Jesús Tinoco
432,Chris Flexen,623167,623167,13896,9502,*02n5v*,CHC,RP,RP,Flexen,Chris,Flexen,Chris,Chris Flexen
433,Andrew Velazquez,623205,623205,14196,10099,*02n0e*,NYY,SS,SS,Velazquez,Andrew,Velazquez,Andrew,Andrew Velazquez
434,Huascar Brazoban,623211,623211,6107,11519,*060ml*,NYM,RP,RP,Brazoban,Huascar,Brazobán,Huascar,Huascar Brazoban
435,Thomas Pannone,623381,623381,17281,9882,*031ce*,MIL,RP,RP,Pannone,Thomas,Pannone,Thomas,Thomas Pannone
436,Nick Anderson,623433,623433,18337,10474,*04sxl*,STL,RP,RP,Anderson,Nick,Anderson,Nick,Nick Anderson
437,Justin Topa,623437,623437,15145,11126,*0318i*,MIN,RP,RP,Topa,Justin,Topa,Justin,Justin Topa
438,Evan Phillips,623465,623465,17734,9635,*03qto*,LAD,RP,RP,Phillips,Evan,Phillips,Evan,Evan Phillips
439,Jimmy Herget,623474,623474,17556,10501,*03qln*,COL,RP,RP,Herget,Jimmy,Herget,Jimmy,Jimmy Herget
440,David Bote,623520,623520,14593,9607,*02n8i*,LAD,3B,2B/3B,Bote,David,Bote,David,David Bote
441,Anthony Santander,623993,623993,14551,9599,*02w16*,TOR,OF,OF,Santander,Anthony,Santander,Anthony,Anthony Santander
442,Ranger Suarez,624133,624133,17277,9840,*03et8*,PHI,SP,SP,Suarez,Ranger,Suárez,Ranger,Ranger Suárez
443,Pete Alonso,624413,624413,19251,10312,*041pz*,NYM,1B,1B,Alonso,Pete,Alonso,Pete,Pete Alonso
444,Cavan Biggio,624415,624415,19252,10160,*041rv*,KC,1B/2B/ 3B/OF,1B/2B/ 3B/OF,Biggio,Cavan,Biggio,Cavan,Cavan Biggio
445,Jose Trevino,624431,624431,16725,9862,*03df0*,CIN,C,C,Trevino,Jose,Trevino,Jose,Jose Trevino
446,Nick Gordon,624503,624503,16337,9786,*03c7z*,BAL,OF,OF,Gordon,Nick,Gordon,Nick,Nick Gordon
447,Keegan Thompson,624522,624522,19795,10919,*04efn*,CHC,RP,RP,Thompson,Keegan,Thompson,Keegan,Keegan Thompson
448,Riley Unroe,624523,624523,sa737614,10534,,DET,2B,2B,Unroe,Riley,Unroe,Riley,
449,Edmundo Sosa,624641,624641,17022,9557,*02zpf*,PHI,2B/SS/ 3B,2B/SS/ 3B,Sosa,Edmundo,Sosa,Edmundo,Edmundo Sosa
450,Victor Gonzalez,624647,624647,16408,10703,*03aqt*,LAA,RP,RP,Gonzalez,Victor,González,Victor,Victor González
451,Erick Mejia,625510,625510,15817,9950,,WSH,SS,SS,Mejia,Erick,Mejia,Erick,Erick Mejia
452,Andy Ibanez,628451,628451,18819,10979,*03mm4*,DET,2B,1B/2B/ 3B,Ibanez,Andy,Ibáñez,Andy,Andy Ibáñez
453,Jake Cronenworth,630105,630105,18036,10766,*03qmh*,SD,1B/2B,1B/2B,Cronenworth,Jake,Cronenworth,Jake,Jake Cronenworth
454,Kyle Finnegan,640448,640448,15009,10792,*031bl*,WSH,RP,RP,Finnegan,Kyle,Finnegan,Kyle,Kyle Finnegan
455,Hunter Harvey,640451,640451,15507,8633,*0310c*,KC,RP,RP,Harvey,Hunter,Harvey,Hunter,Hunter Harvey
456,Matt Krook,640454,640454,19315,11314,*0310j*,ATH,RP,RP,Krook,Matt,Krook,Matt,Matt Krook
457,Austin Meadows,640457,640457,15672,9783,,FA,DH,DH,Meadows,Austin,,,
458,Óscar Mercado,640458,640458,16375,9846,*02k19*,PHI,OF,OF,Mercado,Óscar,Mercado,Óscar,Óscar Mercado
