All Players 2024  Season MLB Import_pitchers Categories
Avail,Player,APP,INN,GS,K,BAA,H,HR,QS,W-L,HD,S,BS,RW,ERA,WHIP,Rank,
Iowa Cubs,Jason Adam RP | SD,74,73.7,0,81,.159,40,5,0,5,31,4,4,7,1.96,0.86,212
Fairfax Flying Squirrels,Zach Eflin SP | BAL ,28,165.3,28,134,.254,166,22,13,1,0,0,0,0,3.59,1.15,213
Southern Playaz,Tobias Myers SP | MIL ,27,138.0,25,127,.242,126,18,7,3,0,0,0,2,3.00,1.17,216
Lewisberg All Blacks,Spencer Schwellenbach SP | ATL ,21,123.7,21,127,.227,106,14,12,1,0,0,0,0,3.35,1.04,217
Fairfax Flying Squirrels,Luke Weaver RP | NYY,62,84.0,0,103,.176,52,10,0,4,22,4,0,7,2.89,0.93,218
Lewisberg All Blacks,Edwin Diaz RP | NYM,54,53.7,0,84,.188,36,7,0,2,2,20,7,6,3.52,1.04,220
Iowa Cubs,Kutter Crawford SP | BOS ,33,183.7,33,175,.223,155,34,15,-7,0,0,0,0,4.36,1.12,222
Lewisberg All Blacks,Grayson Rodriguez SP | BAL ,20,116.7,20,130,.243,109,15,11,9,0,0,0,0,3.86,1.24,224
Midlothian DeadHeads,Cade Smith RP | CLE,74,75.3,0,103,.190,51,1,0,5,28,1,2,6,1.91,0.90,226
Southern Playaz,Luis Severino SP | ATH ,31,182.0,31,161,.243,166,23,14,4,0,0,0,0,3.91,1.24,228
Southern Playaz,Kyle Finnegan RP | WAS ,65,63.7,0,60,.249,61,9,0,-5,0,38,5,3,3.67,1.34,234
Midlothian DeadHeads,Kenley Jansen RP | LAA,54,54.7,0,62,.196,38,4,0,2,0,27,4,4,3.29,1.06,235
FA,Matt Strahm RP | PHI ,66,62.7,0,79,.166,36,4,0,4,18,3,6,6,1.87,0.75,237
Iowa Cubs,Blake Snell SP | LAD ,20,104.0,20,145,.174,65,6,10,2,0,0,0,0,3.12,1.05,240
Northern Virginia River Rats,Ben Lively SP | CLE ,29,151.0,29,118,.241,139,23,9,3,0,0,0,0,3.81,1.25,242
Levittown Panthers,Brady Singer SP | CIN,32,179.7,32,170,.253,175,22,13,-4,0,0,0,0,3.71,1.27,243
FA,Hunter Gaddis RP | CLE,78,74.7,0,66,.166,43,4,0,3,33,0,5,6,1.57,0.76,244
Levittown Panthers,"Bowden Francis RP,SP | TOR ",27,103.7,13,92,.196,74,17,7,3,0,0,0,3,3.30,0.93,245
Lewisberg All Blacks,Ryan Pepiot SP | TB ,26,130.0,26,142,.212,102,17,9,0,0,0,0,0,3.60,1.15,247
South Carolina Ballcocks,"Gavin Stone SP | LAD ",25,140.3,25,116,.248,133,18,10,6,0,0,0,0,3.53,1.21,249
Midlothian DeadHeads,Jhoan Duran RP | MIN ,58,54.3,0,66,.235,48,4,0,-3,7,23,2,6,3.64,1.16,250
FA,Cole Sands RP | MIN ,62,71.3,0,85,.221,59,6,0,8,5,4,3,9,3.28,1.00,251
Southern Playaz,Justin Steele SP | CHC ,24,134.7,24,135,.219,111,12,11,0,0,0,0,0,3.07,1.10,252
Richmond Hippies,Clay Holmes RP | NYM ,67,63.0,0,68,.248,60,4,0,-2,2,30,13,3,3.14,1.30,254
South Carolina Ballcocks,Brandon Pfaadt SP | ARI ,32,181.7,32,185,.259,183,24,13,1,0,0,0,0,4.71,1.24,255
Lewisberg All Blacks,Nick Pivetta SP | SD ,27,145.7,26,172,.231,128,28,11,-6,0,0,0,0,4.14,1.13,258
Richmond Hippies,Michael Kopech RP | LAD ,67,67.7,0,88,.188,44,9,0,-2,9,15,5,6,3.46,1.15,259
FA,Alex Vesia RP | LAD,67,66.3,0,87,.148,33,7,0,1,13,5,3,5,1.76,0.99,263
Fairfax Flying Squirrels,Jeff Hoffman RP | TOR ,68,66.3,0,89,.197,48,6,0,0,21,10,3,3,2.17,0.96,266
Northern Virginia River Rats,Hector Neris RP | ATL,62,59.3,0,64,.244,55,8,0,5,7,18,5,10,4.10,1.40,269
Levittown Panthers,Jose Quintana SP | MIL,31,170.3,31,135,.237,150,22,12,0,0,0,0,0,3.75,1.25,270
Lewisberg All Blacks,"Luis Ortiz RP,SP | CLE ",37,135.7,15,107,.218,109,16,7,1,1,1,2,3,3.32,1.11,276
Richmond Hippies,Mitch Keller SP | PIT ,31,178.0,31,166,.261,182,23,15,-1,0,0,0,0,4.25,1.30,278
Northern Virginia River Rats,Jake Irvin SP | WAS ,33,187.7,33,156,.244,173,29,16,-4,0,0,0,0,4.41,1.20,279
FA,Bryan Hudson RP | MIL,43,62.3,0,62,.135,28,7,0,5,14,0,3,6,1.73,0.72,280
Northern Virginia River Rats,David Peterson SP | NYM,21,121.0,21,101,.243,110,8,12,7,0,0,0,0,2.90,1.29,281
Northern Virginia River Rats,Colin Rea SP | CHC,32,167.7,27,135,.258,169,29,8,6,1,1,0,2,4.29,1.26,283
East Carolina Bucs,Brayan Bello SP | BOS ,30,162.3,30,153,.252,157,19,10,6,0,0,0,0,4.49,1.36,284
FA,Jason Foley RP | DET ,69,60.0,0,46,.228,51,5,0,-3,8,28,4,3,3.15,1.18,286
Northern Virginia River Rats,Zack Littell SP | TB ,29,156.3,29,141,.265,164,22,10,-2,0,0,0,0,3.63,1.25,287
FA,Tyler Anderson SP | LAA ,31,179.3,31,142,.232,158,24,12,-5,0,0,0,0,3.81,1.29,288
Fairfax Flying Squirrels,MacKenzie Gore SP | WAS ,32,166.3,32,181,.264,171,15,11,-2,0,0,0,0,3.90,1.42,290
Lewisberg All Blacks,Taj Bradley SP | TB,25,138.0,25,154,.235,122,22,10,-3,0,0,0,0,4.11,1.22,292
Wrigleyville Fielders,Yoshinobu Yamamoto SP | LAD ,18,90.0,18,105,.229,78,7,7,5,0,0,0,0,3.00,1.11,293
FA,"Jose Butto RP,SP | NYM ",30,74.0,7,79,.167,41,6,3,4,4,3,3,6,2.55,1.07,295
Northern Virginia River Rats,JP Sears SP | ATH ,32,180.7,32,137,.251,172,28,13,-2,0,0,0,0,4.38,1.22,299
Richmond Hippies,Craig Kimbrel RP | BAL,57,52.3,0,73,.208,40,7,0,2,4,23,6,7,5.33,1.36,301
FA,Daniel Hudson RP | LAD,65,63.0,0,63,.198,46,10,0,4,17,10,7,6,3.00,1.03,303
Wrigleyville Fielders,Gerrit Cole SP | NYY ,17,95.0,17,99,.220,78,11,8,3,0,0,0,0,3.41,1.13,304
Lewisberg All Blacks,Evan Phillips RP | LAD ,61,54.7,0,63,.232,48,6,0,4,9,18,4,5,3.62,1.19,310
Levittown Panthers,Ryne Nelson SP | ARI ,28,150.7,25,126,.266,155,17,12,4,0,1,0,1,4.24,1.25,312
East Carolina Bucs,Andrew Abbott SP | CIN ,25,138.0,25,114,.240,127,25,9,0,0,0,0,0,3.72,1.30,313
FA,Kevin Ginkel RP | ARI,72,70.0,0,77,.256,69,6,0,5,18,5,6,8,3.21,1.20,315
FA,Aroldis Chapman RP | BOS ,68,61.7,0,98,.198,44,5,0,0,22,14,5,5,3.79,1.35,317
Centreville Blue Sox,Justin Martinez RP | ARI ,64,72.7,0,91,.221,59,2,0,-1,9,8,2,5,2.48,1.31,318
FA,Jeremiah Estrada RP | SD,62,61.0,0,94,.188,42,4,0,3,16,1,3,6,2.95,1.07,323
FA,Derek Law RP | WAS ,75,90.0,0,76,.246,82,7,0,3,17,1,5,7,2.60,1.18,324
Centreville Blue Sox,Chad Green RP | TOR ,53,53.3,0,46,.216,41,8,0,-2,7,17,3,4,3.21,1.03,326
Southern Playaz,Charlie Morton SP | BAL ,30,165.3,30,167,.251,154,23,12,-2,0,0,0,0,4.19,1.32,327
FA,Tim Herrin RP | CLE,75,65.7,0,68,.173,39,2,0,4,16,0,2,5,1.92,0.97,337
Southern Playaz,Alexis Diaz RP | CIN ,60,56.3,0,55,.206,42,6,0,-3,0,28,4,2,3.99,1.30,338
FA,"Jared Koenig RP,SP | MIL",55,62.0,6,63,.229,54,4,0,5,10,1,2,9,2.47,1.24,339
FA,Blake Treinen RP | LAD,50,46.7,0,56,.194,33,5,0,4,16,1,4,7,1.93,0.94,340
Northern Virginia River Rats,Trevor Megill RP | MIL,48,46.3,0,50,.200,33,4,0,-2,6,21,3,1,2.72,1.01,342
FA,Tyson Miller RP | CHC,58,62.0,0,54,.180,39,7,0,4,15,1,1,5,2.32,0.81,344
FA,Tayler Scott RP | HOU,62,68.7,1,71,.188,45,7,0,4,9,0,3,7,2.23,1.17,346
Fairfax Flying Squirrels,Pete Fairbanks RP | TB ,46,45.3,0,44,.217,36,4,0,0,1,23,4,3,3.57,1.17,347
FA,Yu Darvish SP | SD ,16,81.7,16,78,.217,65,12,5,4,0,0,0,0,3.31,1.07,348
FA,"Albert Suarez RP,SP | BAL",32,133.7,24,108,.255,130,17,7,2,1,0,1,1,3.70,1.29,350
Midlothian DeadHeads,Dean Kremer SP | BAL ,24,129.7,24,123,.223,110,18,9,-2,0,0,0,0,4.09,1.24,351
FA,Trevor Williams SP | WAS ,13,66.7,13,59,.214,51,3,1,5,0,0,0,0,2.02,1.03,352
FA,Michael Lorenzen SP | KC,26,130.3,24,97,.216,101,17,9,1,0,0,0,0,3.31,1.24,354
East Carolina Bucs,Nick Lodolo SP | CIN ,21,115.3,21,122,.231,101,13,8,3,0,0,0,0,4.76,1.20,355
