Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2025,"JT Chargois","TEX","AAA",34,0,1,19.285701148372958,5,0,0,0,0,0,,4.2,29,11,14,10,5,3,0,1,0,0,7,13.49999080386107,5.785710344511887,2.33333333,9.642850574186479,0.24137931,0.10344828,0.13793104,0.44,2.999997956413571,0.46153846,0.125,19.285701148372958,17.212498719357896,2.073202429015062,7.041712583717504,0.46153846,0.333333333,0.25,0.1875,0.5625,0,0.555555555,0.38888889,0.5,0.11111111,0.11320755,43,63,106,"13767"
2025,"Chris Flexen","CHC","AAA",30,2,0,0.551020515406962,3,3,0,0,0,0,,16.1,68,15,2,1,0,6,0,0,0,0,12,6.612246184883543,3.3061230924417715,2,0,0.17647059,0.08823529,0.08823529,0.24193548,1.2857145359495779,0.3,0.9047619,0.551020515406962,3.1745347417428524,-2.6235142263358906,4.687274321533966,0.3,1,0.32,0.34,0.34,0.235294117,0,0.37254902,0.2745098,0.35294118,0.08108108,92,167,259,"13896"
2025,"Dietrich Enns","DET","AAA",34,0,1,2.842104549883654,3,3,0,0,0,0,,12.2,56,13,4,4,0,4,0,1,1,0,13,9.236839787121877,2.842104549883654,3.25,0,0.23214286,0.07142857,0.16071429,0.25490196,1.342104926333948,0.34210526,0.77777778,2.842104549883654,2.673460917327488,0.168643632556166,4.050381159688446,0.34210526,1.666666666,0.111111111,0.555555555,0.333333333,0.25,0,0.39473684,0.13157895,0.47368421,0.09210526,80,148,228,"13932"
2025,"Lance McCullers Jr.","HOU","AA,AAA",31,0,1,4.695650153891093,3,3,0,0,0,0,,7.2,35,7,6,4,1,5,0,0,2,0,9,10.565212846254958,5.869562692363866,1.8,1.1739125384727733,0.25714286,0.14285714,0.11428572,0.23333333,1.5652167179636975,0.3,0.56603774,4.695650153891093,5.024044963004692,-0.32839480911359864,5.05533057757447,0.3,0.875,0.25,0.35,0.4,0,0.125,0.47619048,0.19047619,0.33333333,0.1369863,56,90,146,"14120"
2025,"Jackson Stephens","ATL","AAA",31,1,0,6.428571428571429,5,0,0,0,0,1,,7,30,7,5,5,1,2,0,0,0,0,6,7.714285714285714,2.5714285714285716,3,1.2857142857142858,0.2,0.06666667,0.13333333,0.25,1.2857142857142858,0.28571429,0.52631579,6.428571428571429,4.54188175201416,1.8866896765572685,4.138155071011612,0.28571429,1.142857142,0.285714285,0.38095238,0.333333333,0.142857142,0.142857142,0.36363636,0.31818182,0.31818182,0.1557377,48,74,122,"14420"
2025,"J.B. Wendelken","SDP","AAA",32,0,0,0,2,0,0,0,0,0,,1,5,2,0,0,0,1,0,0,1,0,1,9,9,1,0,0.2,0.2,0,0.5,3,0.66666667,1,0,4.712507915496826,-4.712507915496826,4.712507915496826,0.66666667,1,0.666666666,0.333333333,0,0,0,0.33333333,0.33333333,0.33333333,0.15789474,7,12,19,"14506"
2025,"Buck Farmer","ATL","AAA",34,1,0,7.714280459349183,5,0,0,0,0,0,,4.2,24,7,5,4,0,4,0,0,1,0,7,13.49999080386107,7.714280459349183,1.75,0,0.29166667,0.16666667,0.125,0.35,2.357141251467806,0.53846154,0.54545455,7.714280459349183,3.11331061538365,4.600969843965533,3.424756726686461,0.53846154,6,0.416666666,0.5,0.083333333,1,0,0.76923077,0.15384615,0.07692308,0.09565217,50,65,115,"14814"
2025,"Dylan Covey","ATL","AAA",33,1,0,0,1,0,0,0,0,0,,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.25,1,0,3.5418817520141603,-3.5418817520141603,5.722006016224623,0.25,1.333333333,0.125,0.5,0.375,0,0,0.5,0,0.5,0.07407407,10,17,27,"14825"
2025,"Chad Kuhl","ATL","AAA",32,0,3,9.94736592459279,3,2,0,0,0,1,,12.2,59,17,14,14,2,3,0,2,1,0,8,5.684209099767308,2.1315784124127406,2.66666667,1.421052274941827,0.13559322,0.05084746,0.08474576,0.31481481,1.5789469721575857,0.34090909,0.41666667,9.94736592459279,5.515565467211142,4.431800457381647,5.643058120477797,0.34090909,0.684210526,0.288888888,0.288888888,0.422222222,0.421052631,0.105263157,0.36956522,0.2826087,0.34782609,0.10194175,77,129,206,"14975"
2025,"Rob Zastryzny","NYY","AAA",33,0,0,7.2,5,0,0,0,0,0,,5,23,7,5,4,1,0,0,0,1,0,5,9,0,5,1.8,0.2173913,0,0.2173913,0.30434783,1.4,0.35294118,0.35714286,7.2,4.14188175201416,3.05811824798584,3.576664398610592,0.35294118,1.142857142,0.117647058,0.470588235,0.411764705,0.142857142,0.142857142,0.27777778,0.38888889,0.33333333,0.12631579,29,66,95,"15094"
