Name,Team,Season,Age,OPS,HR,R,RBI,SB,CS,PA,AB,AVG,BABIP,BB,H,1B,2B,3B,GDP,HBP,ISO,SO,OBP,SLG,SF,WAR,wOBA,wRAA,wRC,wRC+,wSB,K%,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Brooks Baldwin","CHW",2024,23,0.565789473,2,9,8,4,0,121,114,0.210526315,0.271604938,6,24,16,6,0,1,0,0.105263158,31,0.25,0.315789473,0,0.06599666877208674,0.2489004562298457,-5.967807066030679,8.186539601199451,58.36111320802306,0.6263667196035385,0.256198347,0.04761905,0.32142857,"Brooks Baldwin",31394,681460
"Jordan Beck","COL",2024,23,0.521035805,3,14,13,7,1,184,170,0.188235294,0.281553398,12,32,23,6,0,3,1,0.088235294,65,0.244565217,0.276470588,1,-0.9934252773533228,0.23090429742479585,-11.740141305075452,9.783823874844744,31.97593800428774,0.7187588289380074,0.353260869,0.06603774,0.32075472,"Jordan Beck",31431,687597
"Connor Joe","PIT",2024,31,0.687843406,9,49,36,2,2,416,364,0.228021978,0.278195488,44,83,51,22,1,7,6,0.14010989,91,0.319711538,0.368131868,2,0.500150910551594,0.3049523913716695,-1.7500015764181622,46.91287622166228,92.33366157238994,-1.1992550492286682,0.21875,0.04727273,0.32,"Connor Joe",16572,656582
"Jace Jung","DET",2024,23,0.665499595,0,14,3,0,1,94,79,0.240506329,0.38,15,19,14,5,0,3,0,0.063291139,29,0.361702127,0.303797468,0,0.07992100548231176,0.3080121437285809,-0.16394172841325627,10.831997004806844,101.64347080215947,-0.6338866576552391,0.308510638,0.04,0.32,"Jace Jung",31437,690291
"Ozzie Albies","ATL",2024,27,0.706957046,10,52,53,8,1,435,399,0.250626566,0.274390243,27,100,60,29,1,6,5,0.152882205,65,0.303448275,0.403508771,4,1.2693585505311842,0.3070691708860726,-1.088814776350797,49.79664638269967,95.15225593821283,0.4688907563686371,0.149425287,0.05621302,0.31952663,"Ozzie Albies",16556,645277
"Ildemaro Vargas","WSN",2024,32,0.611478483,1,21,30,9,4,303,272,0.246323529,0.269387755,19,67,50,16,0,9,2,0.069852941,31,0.295302013,0.31617647,5,0.04319767174048149,0.27094010958735576,-9.569307982064574,25.87504772182575,72.39160171230857,-0.3803875967860222,0.102310231,0.01195219,0.3187251,"Ildemaro Vargas",13324,545121
"Alex Jackson","TBR",2024,28,0.438708772,3,17,12,1,0,155,139,0.122302158,0.166666666,12,17,7,7,0,2,2,0.115107913,53,0.201298701,0.237410071,1,-0.10803794226602742,0.20007716874023537,-13.735581066703233,4.3960200359469335,28.57919694455111,0.034259133040905,0.341935483,0.09090909,0.31818182,"Alex Jackson",17276,656577
"Aaron Schunk","COL",2024,26,0.595093356,2,14,7,0,1,98,94,0.234042553,0.327868852,4,22,17,3,0,0,0,0.095744681,31,0.265306122,0.329787234,0,0.026876687705421946,0.2568972663781078,-4.202671537703794,7.26117948203631,49.47098782779353,-0.5628548562526703,0.31632653,0.04761905,0.31746032,"Aaron Schunk",25524,668845
"Thairo Estrada","SFG",2024,28,0.590125753,9,43,47,2,2,381,364,0.217032967,0.24911032,10,79,53,15,2,8,5,0.126373626,76,0.24671916,0.343406593,2,0.3775606883526639,0.25634105749956265,-16.50952018136256,28.059125109667846,64.16868064708623,-0.9466975331306458,0.199475065,0.04827586,0.31724138,"Thairo Estrada",16426,642731
"Pablo Reyes","- - -",2024,30,0.451041666,0,5,5,1,2,64,60,0.183333333,0.268292682,3,11,9,2,0,1,1,0.033333333,19,0.234375,0.216666666,0,-0.7295409484495358,0.20674801338464022,-5.32784339902046,2.1587531852996085,23.425891311372155,-0.7126143053174019,0.296875,0.04878049,0.31707317,"Pablo Reyes",16357,622569
"Leo Jiménez","TOR",2024,23,0.686113327,4,18,19,0,0,210,179,0.229050279,0.310924369,12,41,26,11,0,6,16,0.12849162,59,0.328571428,0.357541899,3,0.5475420031215144,0.30816414923894975,-0.340560721013641,24.224834321286586,101.90764205037424,-0.4261908084154129,0.28095238,0.08130081,0.31707317,"Leo Jimenez",23782,677870
"Nick Sogard","BOS",2024,26,0.650256719,0,13,8,3,0,86,77,0.272727272,0.388888888,7,21,17,4,0,4,0,0.051948052,25,0.325581395,0.324675324,2,0.3088386766492025,0.2887300197468248,-1.4846592515110175,8.575454908669075,81.09370879563829,0.41058187186717987,0.290697674,0.01851852,0.31481481,"Nick Sogard",25483,686765
"TJ Friedl","CIN",2024,28,0.690205893,13,35,55,9,1,341,297,0.225589225,0.228813559,26,67,48,5,1,1,12,0.154882155,52,0.309734513,0.38047138,4,0.2053848924884659,0.30498200567071065,-1.4263686207343476,38.46315380509601,88.46584599144941,0.7162452936172485,0.152492668,0.03187251,0.31474104,"TJ Friedl",19522,670770
"Angel Martínez","CLE",2024,22,0.635367391,3,16,11,3,1,169,151,0.231788079,0.273504273,15,35,25,7,0,2,0,0.105960265,33,0.297619047,0.337748344,2,-0.04637878417978771,0.28160526709897177,-3.886646992150151,15.88264711332003,83.12088924427286,-0.12070329487323761,0.195266272,0.01652893,0.31404959,"Angel Martinez",26540,682657
"Tyler Fitzgerald","SFG",2024,26,0.831126136,15,53,34,17,4,341,314,0.280254777,0.380208333,22,88,52,19,2,2,4,0.216560509,108,0.33431085,0.496815286,1,2.9911585635295794,0.35674211146894436,12.779575901530903,52.66909832736127,131.74547207410086,1.1643654704093933,0.316715542,0.0821256,0.31400966,"Tyler Fitzgerald",26208,666149
