Name,Team,Season,Age,QS,K/9,ERA,WHIP,SV,HLD,BS,WAR,G,IP,GS,CG,TBF,W,L,H,R,ER,xERA,AVG,BABIP,SO,K%,K/BB,K-BB%,BB,IBB,HBP,BB/9,BB%,FIP,xFIP,GB%,HR,HR/9,LOB%,BK,WP,ShO,Pitches,Balls,Strikes,NameASCII,PlayerId,MLBAMID
"John King","- - -",2023,28,0,4.8214294746215725,3.6160721059661793,1.4732145616899248,0,12,2,0.31263555586338043,35,37.1,0,0,157,2,1,45,15,15,4.45,0.30612244897959184,0.344,20,0.12738854,2,0.06369427,10,0,0,2.4107147373107862,0.06369427,3.6836118683523216,3.917193702277316,0.669354838,2,0.4821429474621572,0.76628352,0,0,0,529,181,348,"John King",22051,667463
"Robert Garcia","- - -",2023,27,0,9.281251391658069,3.6562505482289365,1.1875001780572614,0,4,0,0.5532821789383888,25,32,0,0,127,2,2,26,16,13,3.63,0.22608695652173913,0.2911392405063291,33,0.25984252,2.75,0.16535433,12,2,0,3.37500050605748,0.09448819,3.536290401668527,3.5575542203194757,0.461538461,3,0.84375012651437,0.65088757,0,2,0,523,176,347,"Robert Garcia",23363,676395
"Connor Brogdon","PHI",2023,28,0,8.068967125929246,4.034483562964623,1.4482761508078137,0,3,0,-0.10310048935934901,27,29,1,0,127,2,1,29,14,13,4.67,0.25663716814159293,0.2926829268292683,26,0.20472441,2,0.10236221,13,0,1,4.034483562964623,0.1023622,5.151592461745398,5.133686196246325,0.372093023,5,1.551724447294086,0.80555556,0,2,0,545,200,345,"Connor Brogdon",21205,641401
"Karl Kauffmann","COL",2023,25,0,4.114285938496504,8.228571876993009,1.657142947449981,0,0,0,-0.1991661600768566,11,35,3,0,158,2,5,42,34,32,7.21,0.30434782608695654,0.3162393162393162,16,0.10126582,1,0,16,0,4,4.114285938496504,0.10126582,5.91218336144273,6.275255736533049,0.41322314,5,1.2857143557801576,0.50909091,0,1,0,583,239,344,"Karl Kauffmann",27488,666154
"Jackson Kowar","KCR",2023,26,0,9.321429841372604,6.4285723043948995,1.9285716913184698,0,0,0,-0.17497612535953522,23,28,0,0,137,2,0,34,24,20,4.61,0.29310344827586204,0.3614457831325301,29,0.21167883,1.45,0.06569343,20,0,1,6.4285723043948995,0.1459854,5.290754922555456,5.26410864651282,0.441860465,4,1.28571446087898,0.62753036,0,5,0,568,225,343,"Jackson Kowar",21549,663804
"Jonathan Hernández","TEX",2023,26,0,9.663160416875847,5.400001409430621,1.5789477805352692,0,10,4,0.040214359760284424,33,31.2,0,0,147,1,2,35,20,19,4.96,0.2734375,0.34444444444444444,34,0.23129252,2.26666667,0.1292517,15,1,4,4.263159007445227,0.10204082,4.549777539535992,4.63063886212611,0.510869565,4,1.1368424019853938,0.70247934,0,2,0,553,213,340,"Jonathan Hernandez",17464,642546
"Luis Frías","ARI",2023,25,0,7.548388490071787,4.064516879269424,1.5161293121084358,0,1,1,-0.06064651161432266,29,31,0,0,139,1,0,30,14,14,5.16,0.25,0.2967032967032967,26,0.18705036,1.52941176,0.0647482,17,0,2,4.935484781970015,0.12230216,4.674395460194329,5.389686395326006,0.414893617,3,0.8709679027005908,0.78125,0,1,0,539,201,338,"Luis Frias",21997,666818
"Luke Jackson","SFG",2023,31,0,11.610001771545681,2.9700004531861044,1.2300001876831341,0,4,2,0.35024282336235046,33,33.1,0,0,143,2,2,26,14,11,3.3,0.2047244094488189,0.2839506172839506,43,0.3006993,2.86666667,0.1958042,15,2,1,4.050000617981051,0.1048951,3.285040364074708,3.5038558707814045,0.506024096,3,0.8100001235962103,0.74074074,1,3,0,529,193,336,"Luke Jackson",11752,592426
"Jimmy Herget","LAA",2023,29,0,8.068966578643613,4.655173026140545,1.413793289420462,0,6,3,-0.2095625326037407,29,29,1,0,127,2,4,33,15,15,4.39,0.28205128205128205,0.30952380952380953,26,0.20472441,3.25,0.14173228,8,3,2,2.4827589472749576,0.06299213,5.634351017302238,5.0619657326221965,0.285714285,7,2.1724140788655877,0.84337349,0,0,0,510,177,333,"Jimmy Herget",17556,623474
"Michael Soroka","ATL",2023,25,1,8.072165265905843,6.402062107442565,1.484536140856247,0,0,0,-0.414155051112175,7,32.1,6,0,145,2,2,36,23,23,5.7,0.27906976744186046,0.2967032967032967,29,0.2,2.41666667,0.11724138,12,0,4,3.340206316926556,0.08275862,6.564318840155789,4.684338136355323,0.448979591,9,2.505154737694917,0.73604061,0,2,0,537,204,333,"Michael Soroka",18383,647336
