Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,PlayerId
"Albert Almora Jr.","MIA","AAA",31,9,31,32,5,4,1,0,0,3,2,1,0,9,0,0,0,0,1,0,0.161290322,0.03125,0.28125,0.111111111,0.161290322,0.1875,0.193548387,0.381048387,0.032258065,6.320492386908371,0.227272727,0.15091334749013186,0.0376309660251799,-4.0032306405727205,0.1807690691202879,0.9312609460253781,,0.227272727,1.142857142,0.285714285,0.38095238,0.333333333,0,0,0.27272727,0.31818182,0.40909091,0.15267176,38,93,"14109"
"Andrew Velazquez","NYY","AAA",30,16,54,62,13,10,2,0,1,6,8,7,0,12,0,0,1,0,6,0,0.24074074,0.112903225,0.193548387,0.583333333,0.24074074,0.327868852,0.333333333,0.661202185,0.092592593,5.64148157103552,0.292682926,1.0331053892150521,6.7631374561858015,-1.0660319065976303,0.31511427242247786,86.38384409379242,,0.292682926,1.357142857,0.195121951,0.463414634,0.341463414,0.071428571,0.071428571,0.48837209,0.27906977,0.23255814,0.19067797,89,147,"14196"
"Joey Meneses","NYM","AAA",33,15,55,60,17,6,11,0,0,3,9,5,0,10,0,0,0,2,1,0,0.309090909,0.083333333,0.166666666,0.5,0.309090909,0.366666666,0.509090909,0.875757575,0.2,3.127628362015445,0.377777777,0.0920093609020114,10.3883947569907,2.8117792446196357,0.3948659648497899,137.11128326399268,,0.377777777,1.23076923,0.325581395,0.372093023,0.302325581,0.23076923,0,0.6,0.13333333,0.26666667,0.10849057,83,129,"14366"
"Joe Hudson","HOU","AAA",34,6,16,21,1,1,0,0,0,1,0,4,0,12,0,0,1,0,0,0,0.0625,0.19047619,0.571428571,0.333333333,0.0625,0.25,0.0625,0.3125,0,0.76785714,0.25,-0.025492464192211628,0.025233103491565823,-2.8799546970350534,0.1962616503238678,0.8685532648523394,,0.25,0.5,0,0.333333333,0.666666666,0,0,0.33333333,0.33333333,0.33333333,0.18085106,40,54,"14412"
"Franchy Cordero","WSN","AAA",30,11,35,41,8,6,1,0,1,3,7,6,0,9,0,0,0,0,0,0,0.228571428,0.146341463,0.219512195,0.666666666,0.228571428,0.341463414,0.342857142,0.684320556,0.114285714,0.47939559625,0.28,-0.11780797317624092,4.888197287624568,-0.2891566458289925,0.3277404977054131,94.41497240587317,,0.28,1.09090909,0.115384615,0.461538461,0.423076923,0.181818181,0.09090909,0.30769231,0.46153846,0.23076923,0.15757576,66,99,"14567"
"Harold Castro","KCR","AAA",31,15,51,60,13,8,3,0,2,9,6,5,0,15,1,0,3,3,2,1,0.25490196,0.083333333,0.25,0.333333333,0.25490196,0.333333333,0.431372549,0.764705882,0.176470589,4.933141896017467,0.323529411,-0.182262497022748,8.294752014220421,0.718136501849358,0.35142251587750617,109.47832842615266,,0.323529411,1.153846153,0.222222222,0.416666666,0.361111111,0.076923076,0.153846153,0.36842105,0.23684211,0.39473684,0.10638298,80,155,"14691"
"Dom Nunez","CLE","AAA",30,8,25,30,5,1,2,0,2,3,7,3,0,7,1,0,1,1,0,0,0.2,0.1,0.233333333,0.428571428,0.2,0.310344827,0.52,0.830344827,0.32,0.5595238025,0.1875,-0.049086655490100384,4.572915489541525,0.7846077333559931,0.3690825515779956,120.71129865504959,,0.1875,0.666666666,0.117647058,0.352941176,0.529411764,0.222222222,0.222222222,0.52631579,0.15789474,0.31578947,0.10743802,45,76,"15055"
"Trey Mancini","ARI","AAA",33,15,68,70,21,15,3,0,3,12,9,1,0,14,1,0,0,2,1,0,0.308823529,0.014285714,0.2,0.071428571,0.308823529,0.328571428,0.485294117,0.813865545,0.176470588,4.9439797896724365,0.352941176,0.1133256247267127,10.022128884268499,0.33816954917976794,0.3585790293557303,103.49205874868194,,0.352941176,1.75,0.185185185,0.518518518,0.296296296,0.125,0.1875,0.51851852,0.24074074,0.24074074,0.12033195,74,167,"15149"
"Mike Tauchman","CHW","AAA",34,3,7,10,1,0,0,0,1,2,3,3,0,2,0,0,0,0,0,0,0.142857142,0.3,0.2,1.5,0.142857142,0.4,0.571428571,0.971428571,0.428571429,1.60119047125,0,-0.02945199329406023,2.0157244688083784,0.7529552167465348,0.4302647650241852,159.62730051568113,,0,0.333333333,0.2,0.2,0.6,0,0.333333333,0.2,0.2,0.6,0.09836066,26,35,"15274"
"Garrett Cooper","ATL","AAA",34,12,37,50,9,7,1,0,1,2,6,11,0,14,2,0,0,0,1,0,0.243243243,0.22,0.28,0.785714285,0.243243243,0.44,0.351351351,0.791351351,0.108108108,2.7891622066297845,0.363636363,0.0036533810198307037,8.558673386257524,2.244827125948305,0.3924177205562592,135.55403526468453,,0.363636363,1.375,0.173913043,0.478260869,0.347826086,0.25,0.125,0.17391304,0.30434783,0.52173913,0.09589041,96,123,"15279"
"Jeff McNeil","NYM","A",33,3,8,11,3,3,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0.375,0.272727272,0.181818181,1.5,0.375,0.545454545,0.375,0.920454545,0,1.60119047125,0.5,-0.02874732669442892,2.674726946704587,1.1455564931561555,0.4808493960987438,174.91359060057027,,0.5,0.5,0.5,0.166666666,0.333333333,0.5,0,0.66666667,0.16666667,0.16666667,0.06060606,16,17,"15362"
"Jamie Westbrook","TBR","AAA",30,10,33,39,9,7,1,0,1,7,3,4,0,7,1,1,0,1,1,0,0.272727272,0.102564102,0.179487179,0.571428571,0.272727272,0.358974358,0.393939393,0.752913751,0.121212121,5.683355434872732,0.307692307,0.08219202980399132,5.356235037824384,0.4314349547831925,0.3502939053070851,108.76045621159042,,0.307692307,1.4,0.111111111,0.518518518,0.37037037,0.1,0.1,0.40740741,0.25925926,0.33333333,0.12413793,59,86,"15504"
"Mike Ford","MIN","AAA",32,13,39,50,7,4,2,0,1,5,5,11,0,14,0,0,0,0,0,2,0.179487179,0.22,0.28,0.785714285,0.179487179,0.36,0.307692307,0.667692307,0.128205128,2.149689557013126,0.25,-1.036899701692164,6.117850395161472,-0.1959958651477466,0.3316407215595245,96.89577704196192,,0.25,2,0.16,0.56,0.28,0.428571428,0.142857142,0.48,0.28,0.24,0.11587983,101,132,"15585"
"Dominic Smith","NYY","AAA",30,11,42,48,7,5,1,0,1,3,2,5,0,9,1,0,0,0,0,0,0.166666666,0.104166666,0.1875,0.555555555,0.166666666,0.270833333,0.261904761,0.532738094,0.095238095,0.6542207712499999,0.1875,-0.10799064207822084,3.1548594802184464,-2.906432929678404,0.2611348268886407,52.04928696505724,,0.1875,1.071428571,0.121212121,0.454545454,0.424242424,0.214285714,0.071428571,0.48484848,0.21212121,0.3030303,0.13333333,66,114,"15653"
"Billy McKinney","NYM","AAA",30,11,41,44,9,8,1,0,0,3,2,3,0,15,0,0,0,1,0,1,0.219512195,0.068181818,0.34090909,0.2,0.219512195,0.272727272,0.243902439,0.516629711,0.024390244,2.0143262252507386,0.346153846,-0.5528105096891522,2.5006391487146065,-3.0555455603575066,0.2500622882084413,45.00640780770975,,0.346153846,1.142857142,0.423076923,0.307692307,0.269230769,0.142857142,0,0.46153846,0.30769231,0.23076923,0.14720812,73,124,"15654"
"Reese McGuire","CHC","AAA",30,8,27,31,10,6,3,0,1,5,9,3,0,5,0,1,0,0,0,0,0.37037037,0.096774193,0.161290322,0.6,0.37037037,0.419354838,0.592592592,1.01194743,0.222222222,1.60119047125,0.409090909,-0.08835597988218069,6.643180209462445,2.7285955280707292,0.4461058897356833,169.7033210455587,,0.409090909,1.428571428,0.260869565,0.434782608,0.304347826,0,0.142857142,0.43478261,0.30434783,0.26086957,0.08333333,35,73,"15674"
"Tyler Wade","SDP","AAA",30,6,28,32,9,9,0,0,0,4,1,3,0,6,1,0,0,1,2,1,0.321428571,0.09375,0.1875,0.5,0.321428571,0.40625,0.321428571,0.727678571,0,4.445628645364589,0.409090909,-0.1549662472680211,4.488674935460825,0.06172209656312016,0.3552609458565712,101.3942343370093,,0.409090909,1.666666666,0.272727272,0.454545454,0.272727272,0,0,0.34782609,0.26086957,0.39130435,0.07692308,44,73,"15730"
"Austin Nola","COL","AAA",35,4,14,16,3,2,0,0,1,2,1,2,0,2,0,0,0,1,0,0,0.214285714,0.125,0.125,1,0.214285714,0.3125,0.428571428,0.741071428,0.214285714,1.08035714,0.181818181,-0.020393971353769302,1.9140272515359347,-0.29944916791291787,0.3316580504179001,86.47154470308386,,0.181818181,2.5,0.3,0.5,0.2,0,0.5,0.41666667,0.33333333,0.25,0.06666667,23,37,"15941"
"J.D. Davis","LAA","AAA",32,10,37,42,11,8,1,0,2,6,11,4,0,8,0,1,0,2,0,1,0.297297297,0.095238095,0.19047619,0.5,0.297297297,0.357142857,0.486486486,0.843629343,0.189189189,2.3290595402409378,0.321428571,-0.5498677603900433,6.47668254660074,0.6663069455475016,0.3711936700911749,111.46753654663428,,0.321428571,2,0.25,0.5,0.25,0.142857142,0.285714285,0.23333333,0.3,0.46666667,0.1483871,50,105,"16219"
"Nick Gordon","BAL","AAA",29,11,35,38,9,7,2,0,0,6,3,3,0,11,0,0,0,2,2,2,0.257142857,0.078947368,0.289473684,0.272727272,0.257142857,0.315789473,0.314285714,0.630075187,0.057142857,5.223135848954843,0.375,-0.5878130402415991,3.6647522997344346,-1.1337708581005723,0.299374836055856,76.37250418914084,,0.375,1.142857142,0.347826086,0.347826086,0.304347826,0,0,0.25,0.29166667,0.45833333,0.11333333,53,97,"16337"
"Oscar Mercado","PHI","AAA",30,15,51,60,15,12,2,0,1,9,10,8,0,12,0,1,0,0,6,1,0.294117647,0.133333333,0.2,0.666666666,0.294117647,0.383333333,0.392156862,0.775490195,0.098039215,5.851521996480382,0.358974358,0.5588335283100605,8.893690717198684,1.3170752048276193,0.3638505975405375,117.38342407209532,,0.358974358,0.647058823,0.263157894,0.289473684,0.447368421,0.294117647,0.058823529,0.475,0.25,0.275,0.08713693,98,143,"16375"
"Brian Navarreto","MIA","AAA",30,5,17,20,5,4,0,0,1,4,5,2,0,4,0,1,0,0,0,0,0.294117647,0.1,0.2,0.5,0.294117647,0.35,0.470588235,0.820588235,0.176470588,2.64285714,0.307692307,-0.05890398658812046,2.9811531861429783,0.4556146820192905,0.3648833096027374,118.04029838687333,,0.307692307,0.8,0.307692307,0.307692307,0.384615384,0,0.2,0.64285714,0.14285714,0.21428571,0.1,28,42,"16398"
"Sergio Alcantara","SFG","AAA",28,13,41,51,11,9,2,0,0,9,6,10,0,11,0,0,0,0,1,0,0.268292682,0.196078431,0.215686274,0.909090909,0.268292682,0.411764705,0.31707317,0.728837875,0.048780488,4.807082603303366,0.366666666,0.10312863904982805,7.380100747694352,0.32464466070113407,0.36033353618547026,104.60132777666378,,0.366666666,2,0.2,0.533333333,0.266666666,0.25,0,0.3,0.3,0.4,0.08333333,92,136,"16417"
"Christian Arroyo","PHI","AAA",30,7,28,30,10,6,2,0,2,4,9,1,0,6,1,0,0,0,0,0,0.357142857,0.033333333,0.2,0.166666666,0.357142857,0.4,0.642857142,1.042857142,0.285714285,0.9067460274999999,0.4,-0.07853864878416061,6.837083482197568,3.048775726012036,0.46304630637168886,180.47856515970778,,0.4,1.166666666,0.409090909,0.318181818,0.272727272,0.166666666,0.333333333,0.36363636,0.31818182,0.31818182,0.07758621,38,78,"16434"
"Jacob Nottingham","SEA","AAA",30,3,7,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0,0.14285714,0,0,-1.193217485569463,-2.161613419078336,0,-100,,0,0,0,0,1,0.5,0,1,0,0,0.25,6,22,"16448"
"Luis Guillorme","HOU","AAA",30,14,50,61,12,12,0,0,0,6,2,11,0,12,0,0,0,1,1,1,0.24,0.180327868,0.196721311,0.916666666,0.24,0.37704918,0.24,0.61704918,0,2.4648608140349277,0.315789473,-0.4059511786326766,6.541794070805255,-1.8970847783434948,0.3174991207044633,77.51970596740043,,0.315789473,3.5,0.289473684,0.552631578,0.157894736,0,0,0.44736842,0.23684211,0.31578947,0.05629139,122,180,"16451"
"Forrest Wall","SDP","AAA",29,5,18,20,3,3,0,0,0,3,1,2,0,3,0,0,0,0,2,0,0.166666666,0.1,0.15,0.666666666,0.166666666,0.25,0.166666666,0.416666666,0,7.258769757263128,0.2,0.37450754176825285,0.3340315761403098,-2.432813948170756,0.21398292779922484,12.072649998177344,,0.2,1.2,0.153846153,0.461538461,0.384615384,0,0,0.26666667,0.33333333,0.4,0.0875,27,53,"16496"
"Connor Joe","SDP","AAA",32,13,50,61,12,8,4,0,0,14,2,11,0,9,0,0,0,2,4,2,0.24,0.180327868,0.147540983,1.222222222,0.24,0.37704918,0.32,0.69704918,0.08,5.714071655899905,0.292682926,-0.27424304466694593,7.741794112512051,-0.6970847366366998,0.339990427259539,91.73960488001299,,0.292682926,2.2,0.219512195,0.536585365,0.243902439,0.6,0,0.48780488,0.14634146,0.36585366,0.05498282,122,169,"16572"
"Greg Allen","CHC","AAA",32,7,23,26,6,2,3,0,1,6,5,2,1,6,0,0,1,0,2,0,0.260869565,0.076923076,0.23076923,0.333333333,0.260869565,0.32,0.52173913,0.84173913,0.260869565,7.5,0.3125,0.37054801266640425,3.7484175281564074,0.4652174727956136,0.35879800468683243,114.16963526288959,,0.3125,2,0.2,0.533333333,0.266666666,0.5,0.25,0.4,0.46666667,0.13333333,0.22972973,19,55,"16623"
"Brian O'Keefe","KCR","AAA",31,11,38,44,5,4,0,0,1,5,3,6,0,11,0,0,0,0,1,0,0.131578947,0.136363636,0.25,0.545454545,0.131578947,0.25,0.210526315,0.460526315,0.078947368,5.035221885947832,0.153846153,0.10182669200003147,1.9055234237902874,-3.6506612852818257,0.23322307792576877,34.29553773975436,,0.153846153,1.5,0.23076923,0.461538461,0.307692307,0.125,0.125,0.40740741,0.25925926,0.33333333,0.1627907,69,103,"16680"
"Aramis Garcia","ARI","AAA",32,9,26,36,4,3,0,0,1,6,4,9,0,10,1,0,0,0,0,0,0.153846153,0.25,0.277777777,0.9,0.153846153,0.388888888,0.269230769,0.658119657,0.115384616,2.1220238025,0.2,-0.06628040689975023,4.585638225686602,-0.39468371807331626,0.3405211302969191,92.07513645643263,,0.2,3.333333333,0.1875,0.625,0.1875,0,0.333333333,0.5625,0.3125,0.125,0.11971831,59,83,"16925"
"Eddy Alvarez","ATL","AAA",35,15,51,73,12,8,1,0,3,15,7,16,0,15,5,0,1,1,8,1,0.235294117,0.219178082,0.205479452,1.066666666,0.235294117,0.458333333,0.431372549,0.889705882,0.196078432,6.807518953190355,0.272727272,0.8704775543883443,14.516558766290316,5.298343226238857,0.4268839673863517,157.4768858812047,,0.272727272,1.333333333,0.2,0.457142857,0.342857142,0.166666666,0.25,0.54054054,0.24324324,0.21621622,0.06440678,133,162,"16959"
"Alex Verdugo","ATL","AAA",29,9,29,33,6,3,1,0,2,8,4,4,0,4,0,0,0,0,1,0,0.206896551,0.121212121,0.121212121,1,0.206896551,0.303030303,0.448275862,0.751306165,0.241379311,6.055649287125676,0.173913043,0.1312786852940917,4.269615321134972,0.10247678933088682,0.34038726127508917,102.45916444938827,,0.173913043,0.727272727,0.208333333,0.333333333,0.458333333,0.272727272,0.181818181,0.375,0.33333333,0.29166667,0.0530303,54,78,"17027"
"Chad Wallach","TEX","AAA",33,11,33,44,4,2,1,0,1,5,3,9,0,11,1,1,0,2,0,0,0.121212121,0.204545454,0.25,0.818181818,0.121212121,0.318181818,0.242424242,0.56060606,0.121212121,1.60119047125,0.136363636,-0.06118191406130791,3.5219611097482004,-2.565099043736144,0.2864034799012271,57.859804584519594,,0.136363636,1.25,0.181818181,0.454545454,0.363636363,0.125,0.125,0.69565217,0.13043478,0.17391304,0.1576087,75,109,"17161"
"Alex Jackson","NYY","AAA",29,8,28,37,7,4,1,0,2,8,8,9,0,8,0,0,0,0,0,0,0.25,0.243243243,0.216216216,1.125,0.25,0.432432432,0.5,0.932432432,0.25,2.1964285649999997,0.277777777,-0.127625304274261,7.419774288229486,2.7475280556006636,0.4289724359641204,158.80529233269405,,0.277777777,0.7,0.15,0.35,0.5,0.1,0.2,0.55,0.2,0.25,0.12290503,81,98,"17276"
